Id,status,reputation,cdate,rdate
5772882,17,3000,2016-1-11,2016-12-4
5772882,18,5000,2016-1-11,2017-2-21
5772882,19,10000,2016-1-11,2017-10-3
5772882,20,15000,2016-1-11,2018-2-23
5772882,21,20000,2016-1-11,2018-7-10
5801661,1,1,2016-1-17,2016-1-18
5801661,2,5,2016-1-17,2016-1-19
5801661,3,10,2016-1-17,2016-1-20
5801661,4,15,2016-1-17,2016-1-21
5801661,5,20,2016-1-17,2016-1-22
5801661,6,50,2016-1-17,2016-1-24
5801661,7,75,2016-1-17,2016-1-26
5801661,8,100,2016-1-17,2016-1-28
5801661,9,125,2016-1-17,2016-1-30
5801661,10,200,2016-1-17,2016-2-4
5801661,11,250,2016-1-17,2016-2-8
5801661,12,500,2016-1-17,2016-2-24
5801661,13,1000,2016-1-17,2016-3-16
5801661,14,1500,2016-1-17,2016-4-5
5801661,15,2000,2016-1-17,2016-4-25
5801661,16,2500,2016-1-17,2016-5-15
5801661,17,3000,2016-1-17,2016-6-4
5801661,18,5000,2016-1-17,2016-8-23
5801661,19,10000,2016-1-17,2017-2-23
5801661,20,15000,2016-1-17,2017-10-18
5801661,21,20000,2016-1-17,2018-8-28
5820010,1,1,2016-1-21,2016-3-3
5820010,2,5,2016-1-21,2016-3-4
5820010,3,10,2016-1-21,2016-3-5
5820010,4,15,2016-1-21,2016-3-6
5820010,5,20,2016-1-21,2016-3-7
5820010,6,50,2016-1-21,2016-3-9
5820010,7,75,2016-1-21,2016-3-11
5820010,8,100,2016-1-21,2016-3-13
5820010,9,125,2016-1-21,2016-3-15
5820010,10,200,2016-1-21,2016-3-20
5820010,11,250,2016-1-21,2016-3-23
5820010,12,500,2016-1-21,2016-4-6
5820010,13,1000,2016-1-21,2016-5-4
5820010,14,1500,2016-1-21,2016-6-1
5820010,15,2000,2016-1-21,2016-6-29
5820010,16,2500,2016-1-21,2016-7-26
5820010,17,3000,2016-1-21,2016-8-22
5820010,18,5000,2016-1-21,2016-12-8
5820010,19,10000,2016-1-21,2017-9-4
5820010,20,15000,2016-1-21,2018-6-1
5820010,21,20000,2016-1-21,2018-7-15
5836671,1,1,2016-1-25,2016-3-4
5836671,2,5,2016-1-25,2016-3-5
5836671,3,10,2016-1-25,2016-3-6
5836671,4,15,2016-1-25,2016-3-7
5836671,5,20,2016-1-25,2016-3-8
5836671,6,50,2016-1-25,2016-3-11
5836671,7,75,2016-1-25,2016-3-13
5836671,8,100,2016-1-25,2016-3-15
5836671,9,125,2016-1-25,2016-3-17
5836671,10,200,2016-1-25,2016-3-23
5836671,11,250,2016-1-25,2016-3-27
5836671,12,500,2016-1-25,2016-4-15
5836671,13,1000,2016-1-25,2016-5-23
5836671,14,1500,2016-1-25,2016-6-30
5836671,15,2000,2016-1-25,2016-8-6
5836671,16,2500,2016-1-25,2016-9-12
5836671,17,3000,2016-1-25,2016-10-19
5836671,18,5000,2016-1-25,2016-12-22
5836671,19,10000,2016-1-25,2017-5-30
5836671,20,15000,2016-1-25,2017-12-28
5836671,21,20000,2016-1-25,2018-8-18
5841306,1,1,2016-1-26,2016-3-4
5841306,2,5,2016-1-26,2016-3-21
5841306,3,10,2016-1-26,2016-4-11
5841306,4,15,2016-1-26,2016-5-2
5841306,5,20,2016-1-26,2016-5-23
5841306,6,50,2016-1-26,2016-9-25
5841306,7,75,2016-1-26,2017-1-8
5841306,8,100,2016-1-26,2017-4-22
5841306,9,125,2016-1-26,2017-5-25
5841306,10,200,2016-1-26,2017-6-6
5841306,11,250,2016-1-26,2017-6-14
5841306,12,500,2016-1-26,2017-7-22
5841306,13,1000,2016-1-26,2017-10-6
5841306,14,1500,2016-1-26,2017-10-31
5841306,15,2000,2016-1-26,2017-11-25
5841306,16,2500,2016-1-26,2017-12-20
5841306,17,3000,2016-1-26,2018-1-14
5841306,18,5000,2016-1-26,2018-4-20
5841306,19,10000,2016-1-26,2018-10-14
5841306,20,15000,2016-1-26,2019-3-23
5841306,21,20000,2016-1-26,2019-8-6
5858851,1,1,2016-1-29,2016-3-1
5858851,2,5,2016-1-29,2016-3-14
5858851,3,10,2016-1-29,2016-3-30
5858851,4,15,2016-1-29,2016-4-15
5858851,5,20,2016-1-29,2016-5-1
5858851,6,50,2016-1-29,2016-8-3
5858851,7,75,2016-1-29,2016-10-21
5858851,8,100,2016-1-29,2017-6-2
5858851,9,125,2016-1-29,2017-6-21
5858851,10,200,2016-1-29,2017-8-17
5858851,11,250,2016-1-29,2017-9-24
5858851,12,500,2016-1-29,2017-10-2
5858851,13,1000,2016-1-29,2017-10-18
5858851,14,1500,2016-1-29,2017-11-3
5858851,15,2000,2016-1-29,2017-11-19
5858851,16,2500,2016-1-29,2017-12-5
5858851,17,3000,2016-1-29,2017-12-21
5858851,18,5000,2016-1-29,2018-2-23
5858851,19,10000,2016-1-29,2018-8-6
5858851,20,15000,2016-1-29,2019-1-25
5858851,21,20000,2016-1-29,2019-7-24
5862071,1,1,2016-1-30,2016-2-3
5862071,2,5,2016-1-30,2016-2-4
5862071,3,10,2016-1-30,2016-2-5
5862071,4,15,2016-1-30,2016-2-6
5862071,5,20,2016-1-30,2016-2-7
5862071,6,50,2016-1-30,2016-2-10
5862071,7,75,2016-1-30,2016-2-12
5862071,8,100,2016-1-30,2016-2-14
5862071,9,125,2016-1-30,2016-2-16
5862071,10,200,2016-1-30,2016-2-22
5862071,11,250,2016-1-30,2016-2-26
5862071,12,500,2016-1-30,2016-3-14
5862071,13,1000,2016-1-30,2016-4-17
5862071,14,1500,2016-1-30,2016-5-21
5862071,15,2000,2016-1-30,2016-6-24
5862071,16,2500,2016-1-30,2016-7-28
5862071,17,3000,2016-1-30,2016-8-31
5862071,18,5000,2016-1-30,2017-1-12
5862071,19,10000,2016-1-30,2017-9-21
5862071,20,15000,2016-1-30,2017-12-22
5862071,21,20000,2016-1-30,2018-3-24
5866580,1,1,2016-2-1,2016-2-29
5866580,2,5,2016-2-1,2016-3-1
5866580,3,10,2016-2-1,2016-3-3
5866580,4,15,2016-2-1,2016-3-5
5866580,5,20,2016-2-1,2016-3-7
5866580,6,50,2016-2-1,2016-3-15
5866580,7,75,2016-2-1,2016-3-22
5866580,8,100,2016-2-1,2016-3-29
5866580,9,125,2016-2-1,2016-4-5
5866580,10,200,2016-2-1,2016-4-24
5866580,11,250,2016-2-1,2016-5-7
5866580,12,500,2016-2-1,2016-7-8
5866580,13,1000,2016-2-1,2016-11-8
5866580,14,1500,2016-2-1,2017-3-11
5866580,15,2000,2016-2-1,2017-4-26
5866580,16,2500,2016-2-1,2017-6-10
5866580,17,3000,2016-2-1,2017-7-25
5866580,18,5000,2016-2-1,2017-10-18
5866580,19,10000,2016-2-1,2018-2-5
5866580,20,15000,2016-2-1,2018-5-26
5866580,21,20000,2016-2-1,2018-8-17
5880706,1,1,2016-2-4,2016-3-4
5880706,2,5,2016-2-4,2016-3-5
5880706,3,10,2016-2-4,2016-3-7
5880706,4,15,2016-2-4,2016-3-9
5880706,5,20,2016-2-4,2016-3-11
5880706,6,50,2016-2-4,2016-3-18
5880706,7,75,2016-2-4,2016-3-24
5880706,8,100,2016-2-4,2016-3-30
5880706,9,125,2016-2-4,2016-4-5
5880706,10,200,2016-2-4,2016-4-21
5880706,11,250,2016-2-4,2016-5-2
5880706,12,500,2016-2-4,2016-6-24
5880706,13,1000,2016-2-4,2016-10-7
5880706,14,1500,2016-2-4,2017-1-20
5880706,15,2000,2016-2-4,2017-5-5
5880706,16,2500,2016-2-4,2017-5-18
5880706,17,3000,2016-2-4,2017-5-31
5880706,18,5000,2016-2-4,2017-7-19
5880706,19,10000,2016-2-4,2017-10-30
5880706,20,15000,2016-2-4,2018-2-10
5880706,21,20000,2016-2-4,2018-5-24
5892036,1,1,2016-2-6,2016-2-7
5892036,2,5,2016-2-6,2016-2-8
5892036,3,10,2016-2-6,2016-2-9
5892036,4,15,2016-2-6,2016-2-10
5892036,5,20,2016-2-6,2016-2-11
5892036,6,50,2016-2-6,2016-2-12
5892036,7,75,2016-2-6,2016-2-13
5892036,8,100,2016-2-6,2016-2-14
5892036,9,125,2016-2-6,2016-2-15
5892036,10,200,2016-2-6,2016-2-18
5892036,11,250,2016-2-6,2016-2-20
5892036,12,500,2016-2-6,2016-2-27
5892036,13,1000,2016-2-6,2016-3-14
5892036,14,1500,2016-2-6,2016-3-30
5892036,15,2000,2016-2-6,2016-4-15
5892036,16,2500,2016-2-6,2016-5-1
5892036,17,3000,2016-2-6,2016-5-17
5892036,18,5000,2016-2-6,2016-7-18
5892036,19,10000,2016-2-6,2017-2-23
5892036,20,15000,2016-2-6,2018-4-19
5892036,21,20000,2016-2-6,2019-2-18
5910058,1,1,2016-2-10,2016-2-11
5910058,2,5,2016-2-10,2016-2-13
5910058,3,10,2016-2-10,2016-2-15
5910058,4,15,2016-2-10,2016-2-17
5910058,5,20,2016-2-10,2016-2-19
5910058,6,50,2016-2-10,2016-3-2
5910058,7,75,2016-2-10,2016-3-4
5910058,8,100,2016-2-10,2016-3-6
5910058,9,125,2016-2-10,2016-3-8
5910058,10,200,2016-2-10,2016-3-12
5910058,11,250,2016-2-10,2016-3-15
5910058,12,500,2016-2-10,2016-3-27
5910058,13,1000,2016-2-10,2016-4-20
5910058,14,1500,2016-2-10,2016-5-14
5910058,15,2000,2016-2-10,2016-6-7
5910058,16,2500,2016-2-10,2016-7-1
5910058,17,3000,2016-2-10,2016-7-25
5910058,18,5000,2016-2-10,2016-10-29
5910058,19,10000,2016-2-10,2017-8-25
5910058,20,15000,2016-2-10,2018-10-10
5910058,21,20000,2016-2-10,2019-6-24
5928186,1,1,2016-2-15,2016-3-5
5928186,2,5,2016-2-15,2016-3-6
5928186,3,10,2016-2-15,2016-3-7
5928186,4,15,2016-2-15,2016-3-8
5928186,5,20,2016-2-15,2016-3-9
5928186,6,50,2016-2-15,2016-3-11
5928186,7,75,2016-2-15,2016-3-12
5928186,8,100,2016-2-15,2016-3-13
5928186,9,125,2016-2-15,2016-3-14
5928186,10,200,2016-2-15,2016-3-17
5928186,11,250,2016-2-15,2016-3-19
5928186,12,500,2016-2-15,2016-3-29
5928186,13,1000,2016-2-15,2016-4-18
5928186,14,1500,2016-2-15,2016-5-8
5928186,15,2000,2016-2-15,2016-5-28
5928186,16,2500,2016-2-15,2016-6-17
5928186,17,3000,2016-2-15,2016-7-7
5928186,18,5000,2016-2-15,2016-9-24
5928186,19,10000,2016-2-15,2016-12-25
5928186,20,15000,2016-2-15,2017-3-27
5928186,21,20000,2016-2-15,2017-6-15
5933656,1,1,2016-2-16,2016-3-4
5933656,2,5,2016-2-16,2016-3-5
5933656,3,10,2016-2-16,2016-3-6
5933656,4,15,2016-2-16,2016-3-7
5933656,5,20,2016-2-16,2016-3-8
5933656,6,50,2016-2-16,2016-3-9
5933656,7,75,2016-2-16,2016-3-10
5933656,8,100,2016-2-16,2016-3-11
5933656,9,125,2016-2-16,2016-3-12
5933656,10,200,2016-2-16,2016-3-15
5933656,11,250,2016-2-16,2016-3-17
5933656,12,500,2016-2-16,2016-3-26
5933656,13,1000,2016-2-16,2016-4-12
5933656,14,1500,2016-2-16,2016-4-29
5933656,15,2000,2016-2-16,2016-5-16
5933656,16,2500,2016-2-16,2016-6-1
5933656,17,3000,2016-2-16,2016-6-17
5933656,18,5000,2016-2-16,2016-8-20
5933656,19,10000,2016-2-16,2017-3-22
5933656,20,15000,2016-2-16,2018-3-18
5933656,21,20000,2016-2-16,2019-1-25
5947043,1,1,2016-2-18,2016-2-19
5947043,2,5,2016-2-18,2016-2-20
5947043,3,10,2016-2-18,2016-2-21
5947043,4,15,2016-2-18,2016-2-22
5947043,5,20,2016-2-18,2016-2-23
5947043,6,50,2016-2-18,2016-2-29
5947043,7,75,2016-2-18,2016-3-4
5947043,8,100,2016-2-18,2016-3-6
5947043,9,125,2016-2-18,2016-3-8
5947043,10,200,2016-2-18,2016-3-14
5947043,11,250,2016-2-18,2016-3-18
5947043,12,500,2016-2-18,2016-4-7
5947043,13,1000,2016-2-18,2016-5-17
5947043,14,1500,2016-2-18,2016-6-26
5947043,15,2000,2016-2-18,2016-8-5
5947043,16,2500,2016-2-18,2016-9-13
5947043,17,3000,2016-2-18,2016-10-22
5947043,18,5000,2016-2-18,2017-2-9
5947043,19,10000,2016-2-18,2017-9-13
5947043,20,15000,2016-2-18,2018-3-14
5947043,21,20000,2016-2-18,2018-9-13
5958455,1,1,2016-2-21,2016-2-22
5958455,2,5,2016-2-21,2016-3-3
5958455,3,10,2016-2-21,2016-3-15
5958455,4,15,2016-2-21,2016-3-27
5958455,5,20,2016-2-21,2016-4-8
5958455,6,50,2016-2-21,2016-6-18
5958455,7,75,2016-2-21,2016-8-16
5958455,8,100,2016-2-21,2016-10-14
5958455,9,125,2016-2-21,2016-12-12
5958455,10,200,2016-2-21,2017-6-4
5958455,11,250,2016-2-21,2017-6-9
5958455,12,500,2016-2-21,2017-7-4
5958455,13,1000,2016-2-21,2017-8-22
5958455,14,1500,2016-2-21,2017-9-7
5958455,15,2000,2016-2-21,2017-9-23
5958455,16,2500,2016-2-21,2017-10-9
5958455,17,3000,2016-2-21,2017-10-25
5958455,18,5000,2016-2-21,2017-12-7
5958455,19,10000,2016-2-21,2018-3-24
5958455,20,15000,2016-2-21,2018-10-1
5958455,21,20000,2016-2-21,2019-3-25
5974433,1,1,2016-2-24,2016-3-5
5974433,2,5,2016-2-24,2016-3-6
5974433,3,10,2016-2-24,2016-3-7
5974433,4,15,2016-2-24,2016-3-8
5974433,5,20,2016-2-24,2016-3-9
5974433,6,50,2016-2-24,2016-3-13
5974433,7,75,2016-2-24,2016-3-16
5974433,8,100,2016-2-24,2016-3-19
5974433,9,125,2016-2-24,2016-3-22
5974433,10,200,2016-2-24,2016-3-31
5974433,11,250,2016-2-24,2016-4-6
5974433,12,500,2016-2-24,2016-5-6
5974433,13,1000,2016-2-24,2016-7-4
5974433,14,1500,2016-2-24,2016-9-1
5974433,15,2000,2016-2-24,2016-10-29
5974433,16,2500,2016-2-24,2016-11-18
5974433,17,3000,2016-2-24,2016-12-8
5974433,18,5000,2016-2-24,2017-2-25
5974433,19,10000,2016-2-24,2017-9-5
5974433,20,15000,2016-2-24,2018-3-2
5974433,21,20000,2016-2-24,2018-10-18
6022656,1,1,2016-3-5,2016-3-6
6022656,2,5,2016-3-5,2016-3-7
6022656,3,10,2016-3-5,2016-3-8
6022656,4,15,2016-3-5,2016-3-9
6022656,5,20,2016-3-5,2016-3-10
6022656,6,50,2016-3-5,2016-3-12
6022656,7,75,2016-3-5,2016-3-13
6022656,8,100,2016-3-5,2016-3-14
6022656,9,125,2016-3-5,2016-3-15
6022656,10,200,2016-3-5,2016-3-18
6022656,11,250,2016-3-5,2016-3-20
6022656,12,500,2016-3-5,2016-3-30
6022656,13,1000,2016-3-5,2016-4-19
6022656,14,1500,2016-3-5,2016-5-9
6022656,15,2000,2016-3-5,2016-5-29
6022656,16,2500,2016-3-5,2016-6-18
6022656,17,3000,2016-3-5,2016-7-7
6022656,18,5000,2016-3-5,2016-9-21
6022656,19,10000,2016-3-5,2017-3-8
6022656,20,15000,2016-3-5,2017-8-3
6022656,21,20000,2016-3-5,2017-12-21
6024220,1,1,2016-3-6,2016-3-7
6024220,2,5,2016-3-6,2016-5-2
6024220,3,10,2016-3-6,2016-7-10
6024220,4,15,2016-3-6,2016-9-17
6024220,5,20,2016-3-6,2016-11-25
6024220,6,50,2016-3-6,2016-12-1
6024220,7,75,2016-3-6,2016-12-6
6024220,8,100,2016-3-6,2016-12-11
6024220,9,125,2016-3-6,2016-12-16
6024220,10,200,2016-3-6,2016-12-30
6024220,11,250,2016-3-6,2017-1-8
6024220,12,500,2016-3-6,2017-2-21
6024220,13,1000,2016-3-6,2017-5-19
6024220,14,1500,2016-3-6,2017-8-14
6024220,15,2000,2016-3-6,2017-9-10
6024220,16,2500,2016-3-6,2017-10-7
6024220,17,3000,2016-3-6,2017-11-2
6024220,18,5000,2016-3-6,2018-2-13
6024220,19,10000,2016-3-6,2018-9-19
6024220,20,15000,2016-3-6,2019-1-24
6024220,21,20000,2016-3-6,2019-5-30
6067741,1,1,2016-3-15,2016-3-16
6067741,2,5,2016-3-15,2016-3-17
6067741,3,10,2016-3-15,2016-3-18
6067741,4,15,2016-3-15,2016-3-19
6067741,5,20,2016-3-15,2016-3-20
6067741,6,50,2016-3-15,2016-3-24
6067741,7,75,2016-3-15,2016-3-27
6067741,8,100,2016-3-15,2016-3-30
6067741,9,125,2016-3-15,2016-4-2
6067741,10,200,2016-3-15,2016-4-11
6067741,11,250,2016-3-15,2016-4-17
6067741,12,500,2016-3-15,2016-5-15
6067741,13,1000,2016-3-15,2016-7-10
6067741,14,1500,2016-3-15,2016-9-4
6067741,15,2000,2016-3-15,2016-10-30
6067741,16,2500,2016-3-15,2016-11-17
6067741,17,3000,2016-3-15,2016-12-5
6067741,18,5000,2016-3-15,2017-2-13
6067741,19,10000,2016-3-15,2017-7-31
6067741,20,15000,2016-3-15,2018-3-5
6067741,21,20000,2016-3-15,2018-8-27
6163022,1,1,2016-4-5,2016-4-6
6163022,2,5,2016-4-5,2016-4-7
6163022,3,10,2016-4-5,2016-4-8
6163022,4,15,2016-4-5,2016-4-9
6163022,5,20,2016-4-5,2016-4-10
6163022,6,50,2016-4-5,2016-4-11
6163022,7,75,2016-4-5,2016-4-12
6163022,8,100,2016-4-5,2016-4-13
6163022,9,125,2016-4-5,2016-4-14
6163022,10,200,2016-4-5,2016-4-16
6163022,11,250,2016-4-5,2016-4-18
6163022,12,500,2016-4-5,2016-4-25
6163022,13,1000,2016-4-5,2016-5-9
6163022,14,1500,2016-4-5,2016-5-23
6163022,15,2000,2016-4-5,2016-6-5
6163022,16,2500,2016-4-5,2016-6-18
6163022,17,3000,2016-4-5,2016-7-1
6163022,18,5000,2016-4-5,2016-8-22
6163022,19,10000,2016-4-5,2017-3-9
6163022,20,15000,2016-4-5,2017-11-2
6163022,21,20000,2016-4-5,2019-1-24
6167855,1,1,2016-4-6,2016-4-7
6167855,2,5,2016-4-6,2016-4-8
6167855,3,10,2016-4-6,2016-4-9
6167855,4,15,2016-4-6,2016-4-10
6167855,5,20,2016-4-6,2016-4-11
6167855,6,50,2016-4-6,2016-4-13
6167855,7,75,2016-4-6,2016-4-15
6167855,8,100,2016-4-6,2016-4-17
6167855,9,125,2016-4-6,2016-4-19
6167855,10,200,2016-4-6,2016-4-24
6167855,11,250,2016-4-6,2016-4-27
6167855,12,500,2016-4-6,2016-5-12
6167855,13,1000,2016-4-6,2016-6-10
6167855,14,1500,2016-4-6,2016-7-9
6167855,15,2000,2016-4-6,2016-8-7
6167855,16,2500,2016-4-6,2016-9-4
6167855,17,3000,2016-4-6,2016-10-2
6167855,18,5000,2016-4-6,2017-1-28
6167855,19,10000,2016-4-6,2017-8-14
6167855,20,15000,2016-4-6,2018-5-19
6167855,21,20000,2016-4-6,2018-11-26
6231153,1,1,2016-4-20,2016-4-21
6231153,2,5,2016-4-20,2016-4-22
6231153,3,10,2016-4-20,2016-4-23
6231153,4,15,2016-4-20,2016-4-24
6231153,5,20,2016-4-20,2016-4-25
6231153,6,50,2016-4-20,2016-4-26
6231153,7,75,2016-4-20,2016-4-27
6231153,8,100,2016-4-20,2016-4-28
6231153,9,125,2016-4-20,2016-4-29
6231153,10,200,2016-4-20,2016-5-1
6231153,11,250,2016-4-20,2016-5-3
6231153,12,500,2016-4-20,2016-5-9
6231153,13,1000,2016-4-20,2016-5-20
6231153,14,1500,2016-4-20,2016-5-31
6231153,15,2000,2016-4-20,2016-6-11
6231153,16,2500,2016-4-20,2016-6-22
6231153,17,3000,2016-4-20,2016-7-3
6231153,18,5000,2016-4-20,2016-8-14
6231153,19,10000,2016-4-20,2016-11-26
6231153,20,15000,2016-4-20,2017-5-17
6231153,21,20000,2016-4-20,2017-9-22
6238977,1,1,2016-4-22,2016-5-6
6238977,2,5,2016-4-22,2016-6-26
6238977,3,10,2016-4-22,2016-8-28
6238977,4,15,2016-4-22,2016-10-29
6238977,5,20,2016-4-22,2017-3-15
6238977,6,50,2016-4-22,2017-3-25
6238977,7,75,2016-4-22,2017-4-3
6238977,8,100,2016-4-22,2017-4-12
6238977,9,125,2016-4-22,2017-4-21
6238977,10,200,2016-4-22,2017-5-16
6238977,11,250,2016-4-22,2017-6-2
6238977,12,500,2016-4-22,2017-8-23
6238977,13,1000,2016-4-22,2017-9-24
6238977,14,1500,2016-4-22,2017-10-26
6238977,15,2000,2016-4-22,2017-11-26
6238977,16,2500,2016-4-22,2017-12-27
6238977,17,3000,2016-4-22,2018-1-27
6238977,18,5000,2016-4-22,2018-5-31
6238977,19,10000,2016-4-22,2018-11-15
6238977,20,15000,2016-4-22,2019-3-20
6238977,21,20000,2016-4-22,2019-8-12
6241235,1,1,2016-4-22,2016-5-6
6241235,2,5,2016-4-22,2016-6-18
6241235,3,10,2016-4-22,2017-1-28
6241235,4,15,2016-4-22,2017-5-13
6241235,5,20,2016-4-22,2017-8-26
6241235,6,50,2016-4-22,2017-8-28
6241235,7,75,2016-4-22,2017-8-30
6241235,8,100,2016-4-22,2017-9-1
6241235,9,125,2016-4-22,2017-9-3
6241235,10,200,2016-4-22,2017-9-7
6241235,11,250,2016-4-22,2017-9-10
6241235,12,500,2016-4-22,2017-9-22
6241235,13,1000,2016-4-22,2017-10-15
