id,post,badge,reputation,learning,reciprocity,status,day,url,status_level
5740031,0.8640553,0.19047619,0,0.047619048,0.015873016,1,1,1,1
5740031,1.30667825,0.384024578,4,0.095238095,0.032002048,0.5,2,1,2
5740031,1.75667825,0.580745889,5,0.142857143,0.048395491,0.333333333,3,1,3
5740031,2.214305369,0.780745889,5,0.19047619,0.065062157,0.25,4,1,4
5740031,0.834568136,0.98413572,5,0.238095238,0.08201131,0.2,5,1,5
5740031,1.520712533,0.370919172,5,0.087301587,0.030909931,0.090909091,11,1,6
5740031,2.095180618,0.675872237,5,0.152380952,0.056322686,0.0625,16,1,7
5740031,2.738037761,0.931191386,5,0.2,0.077599282,0.047619048,21,1,8
5740031,1.642408983,1.216905671,5,0.247619048,0.101408806,0.038461538,26,1,9
5740031,3.690886202,0.729959548,5,0.13015873,0.060829962,0.024390244,41,1,10
5740031,0.678669991,1.640393868,5,0.242857143,0.136699489,0.019607843,51,1,11
5740031,0.621898085,0.278800057,3.205128205,1.266776179,0.031224206,0.007751938,129,1,12
5740031,2.984177789,0.233757327,3.225806452,1.873115112,0.034404415,0.003521127,284,1,13
5740031,3.504681493,1.078419494,10.20408163,6.744606539,0.176626902,0.003003003,333,1,14
5740031,4.115792604,1.220678234,10.41666667,7.704565665,0.201139963,0.002624672,381,1,15
5740031,5.032459271,1.380400456,10.41666667,8.524012155,0.22891774,0.002331002,429,1,16
5740031,2.183937686,1.61998379,10.41666667,9.343458645,0.270584407,0.002096436,477,1,17
5740031,3.429416322,0.697070469,14.81481481,4.112722166,0.114145009,0.001633987,612,1,18
5740031,3.968756617,1.179462714,52.63157895,7.537612968,0.17702088,0.001414427,707,1,19
5740031,2.719102002,1.483438761,53.19148936,9.311018653,0.201761224,0.001248439,801,1,20
5741205,0.180976912,0.061664954,0,2.290322581,0.004110997,1,1,1,1
5741205,0.27160513,0.123393349,4,4.580645161,0.008226223,0.5,2,1,2
5741205,0.362326779,0.185185316,5,6.870967742,0.012345688,0.333333333,3,1,3
5741205,0.453142053,0.247040986,5,9.161290323,0.016469399,0.25,4,1,4
5741205,0.544051144,0.308960491,5,11.4516129,0.020597366,0.2,5,1,5
5741205,0.635054246,0.370943962,30,13.74193548,0.024729597,0.166666667,6,1,6
5741205,0.726151555,0.432991531,25,16.03225806,0.028866102,0.142857143,7,1,7
5741205,0.817343265,0.495103333,25,18.32258065,0.033006889,0.125,8,1,8
5741205,0.363734062,0.557279499,25,20.61290323,0.037151967,0.111111111,9,1,9
5741205,0.637172373,0.248000497,25,9.161290323,0.016533366,0.083333333,12,1,10
5741205,0.273811502,0.434435709,25,16.03225806,0.028962381,0.071428571,14,1,11
5741205,0.229342726,0.18668966,35.71428571,6.870967742,0.012445977,0.047619048,21,1,12
5741205,0.323159357,0.15637004,35.71428571,5.725806452,0.010424669,0.028571429,35,1,13
5741205,1.000084294,0.220335925,35.71428571,8.016129032,0.014689062,0.020408163,49,1,14
5741205,1.095840551,0.681875655,100,30.62869096,0.045458377,0.018518519,54,1,15
5741205,1.192120639,0.747164012,100,38.81222063,0.049810934,0.016949153,59,1,16
5741205,0.410525638,0.812809526,100,46.9957503,0.054187302,0.015625,64,1,17
5741205,0.261376136,0.279903844,105.2631579,20.55083238,0.018660256,0.012048193,83,1,18
5741205,0.365889201,0.178211002,104.1666667,16.31823416,0.011880733,0.007633588,131,1,19
5741205,0.484505311,0.249469909,104.1666667,24.50176383,0.016631327,0.005586592,179,1,20
5743988,0.135895708,0.061728395,0,0.5,0.004115226,1,1,1,1
5743988,0.226710982,0.092656165,2,0.75,0.006177078,0.333333333,3,1,2
5743988,0.317714084,0.154575669,2.5,1.25,0.010305045,0.2,5,1,3
5743988,0.408905794,0.216623239,2.5,1.75,0.014441549,0.142857143,7,1,4
5743988,0.173162259,0.278799405,2.5,2.25,0.018586627,0.111111111,9,1,5
5743988,0.28474249,0.118065177,3,0.95,0.007871012,0.052631579,19,1,6
5743988,0.377962829,0.194142607,2.777777778,1.555555556,0.01294284,0.035714286,28,1,7
5743988,0.519325829,0.257701929,2.777777778,2.055555556,0.017180129,0.027027027,37,1,8
5743988,1.479798759,0.354085793,3.125,2.8125,0.02360572,0.022222222,45,1,9
5743988,2.314936234,1.008953699,25,10.35353535,0.06726358,0.020833333,48,1,10
5743988,0.756855038,1.578365614,25,18.38383838,0.105224374,0.02,50,1,11
5743988,0.474602382,0.516037526,35.71428571,8.106060606,0.034402502,0.01754386,57,1,12
5743988,0.572271639,0.323592533,35.71428571,6.906565657,0.021572836,0.014084507,71,1,13
5743988,0.671482462,0.390185208,35.71428571,9.76010101,0.026012347,0.011764706,85,1,14
5743988,0.772284295,0.457828951,35.71428571,12.61363636,0.03052193,0.01010101,99,1,15
5743988,0.874728998,0.526557474,35.71428571,15.46717172,0.035103832,0.008849558,113,1,16
5743988,0.326800302,0.596406135,35.71428571,18.32070707,0.039760409,0.007874016,127,1,17
5743988,0.244533269,0.222818388,36.36363636,7.516988062,0.014854559,0.005494505,182,1,18
5743988,0.271901109,0.166727229,37.03703704,5.916011972,0.011115149,0.003154574,317,1,19
5743988,0.372382999,0.18538712,20.83333333,4.776131325,0.012359141,0.001795332,557,1,20
5761558,0.181912193,0.061983471,0,0.070175439,0.004132231,1,1,0,1
5761558,0.273009502,0.124031041,4,0.140350877,0.008268736,0.5,2,0,2
5761558,0.364201212,0.186142842,5,0.210526316,0.012409523,0.333333333,3,0,3
5761558,0.455487519,0.248319008,5,0.280701754,0.016554601,0.25,4,0,4
5761558,0.243210274,0.310559672,5,0.350877193,0.020703978,0.2,5,0,5
5761558,0.33487694,0.165825187,10,0.187134503,0.011055012,0.125,8,0,6
5761558,0.426830963,0.228325187,8.333333333,0.257309942,0.015221679,0.090909091,11,0,7
5761558,0.51907415,0.291021111,8.333333333,0.32748538,0.019401407,0.071428571,14,0,8
5761558,0.287186981,0.353914193,8.333333333,0.397660819,0.02359428,0.058823529,17,0,9
5761558,0.552818363,0.195809305,9.375,0.219298246,0.013053954,0.04,25,0,10
5761558,0.213994536,0.376921611,10,0.421052632,0.025128107,0.033333333,30,0,11
5761558,0.128343977,0.145905366,10.86956522,0.161708619,0.009727024,0.018867925,53,0,12
5761558,0.19764719,0.087507257,3.267973856,0.074949925,0.005833817,0.004854369,206,0,13
5761558,1.557603518,0.134759447,2.092050209,0.078436283,0.008983963,0.002247191,445,0,14
5761558,1.737562618,1.062002398,14.70588235,1.435940349,0.07080016,0.002087683,479,1,15
