index,Id,status,reputation_s,dt_0,dt_s,post,badge,reptation,learning,reciprocity,url,day
50,5743988,8,100,2016-1-4,2016-2-10,0.093220339,0.063559322,2.777777778,0.080645161,0.516129032,1,37
51,5743988,9,125,2016-1-4,2016-2-18,0.519325829,0.354085793,15.625,0.453629032,2.903225806,1,45
52,5743988,10,200,2016-1-4,2016-2-21,0.094929881,0.064724919,25,4.546703595,5.221461931,1,48
53,5743988,11,250,2016-1-4,2016-2-23,2.314936234,1.578365614,125,13.18127512,24.66655805,1,50
54,5743988,12,500,2016-1-4,2016-3-1,0.095444685,0.065075922,35.71428571,4.546703595,5.221461931,1,57
55,5743988,13,1000,2016-1-4,2016-3-15,0.474602382,0.323592533,71.42857143,8.703094695,11.3559869,1,71
56,5743988,14,1500,2016-1-4,2016-3-29,0.097669256,0.066592675,35.71428571,4.546703595,5.221461931,1,85
57,5743988,15,2000,2016-1-4,2016-4-12,0.671482462,0.457828951,142.8571429,17.79650189,21.79891077,1,99
58,5743988,16,2500,2016-1-4,2016-4-26,0.100801833,0.068728522,35.71428571,4.546703595,5.221461931,1,113
59,5743988,17,3000,2016-1-4,2016-5-10,0.874728998,0.596406135,214.2857143,26.88990908,32.24183463,1,127
60,5743988,18,5000,2016-1-4,2016-7-4,0.104142012,0.071005917,36.36363636,4.546703595,5.221461931,1,182
61,5743988,19,10000,2016-1-4,2016-11-16,0.244533269,0.166727229,74.07407407,9.187647482,10.69232186,1,317
62,5743988,20,15000,2016-1-4,2017-7-14,0.134351145,0.091603053,20.83333333,5.118547852,5.234283621,1,557
63,5743988,21,20000,2016-1-4,2018-8-25,0.372382999,0.253897499,49.14004914,8.832593891,8.682084794,1,964
64,5761558,1,1,2016-1-8,2016-1-9,0.090909091,0.061983471,1,0.263157895,0.070175439,0,1
65,5761558,2,5,2016-1-8,2016-1-10,0.091003102,0.06204757,4,0.263157895,0.070175439,0,2
66,5761558,3,10,2016-1-8,2016-1-11,0.273009502,0.186142842,10,0.789473684,0.210526316,0,3
67,5761558,4,15,2016-1-8,2016-1-12,0.09119171,0.062176166,5,0.263157895,0.070175439,0,4
68,5761558,5,20,2016-1-8,2016-1-13,0.455487519,0.310559672,20,1.315789474,0.350877193,0,5
69,5761558,6,50,2016-1-8,2016-1-16,0.091381101,0.062305296,10,0.263157895,0.070175439,0,8
70,5761558,7,75,2016-1-8,2016-1-19,0.33487694,0.228325187,25,0.964912281,0.257309942,0,11
71,5761558,8,100,2016-1-8,2016-1-22,0.091954023,0.062695925,8.333333333,0.263157895,0.070175439,0,14
72,5761558,9,125,2016-1-8,2016-1-25,0.51907415,0.353914193,41.66666667,1.49122807,0.397660819,0,17
73,5761558,10,200,2016-1-8,2016-2-2,0.092534175,0.063091483,9.375,0.263157895,0.070175439,0,25
74,5761558,11,250,2016-1-8,2016-2-7,0.552818363,0.376921611,50,1.578947368,0.421052632,0,30
75,5761558,12,500,2016-1-8,2016-3-1,0.093816631,0.063965885,10.86956522,0.263157895,0.070175439,0,53
76,5761558,13,1000,2016-1-8,2016-8-1,0.128343977,0.087507257,6.535947712,0.190636688,0.074949925,0,206
77,5761558,14,1500,2016-1-8,2017-3-28,0.115485564,0.078740157,2.092050209,0.101701555,0.030455787,0,445
78,5761558,15,2000,2016-1-8,2017-5-1,1.557603518,1.062002398,58.82352941,2.727119675,1.995105083,1,479
79,5761558,16,2500,2016-1-8,2017-6-4,0.1799591,0.122699387,14.70588235,1.154352471,1.443744149,1,513
80,5761558,17,3000,2016-1-8,2017-7-8,1.930969211,1.316569917,88.23529412,5.035824617,4.882593381,1,547
81,5761558,18,5000,2016-1-8,2017-11-21,0.209026128,0.142517815,14.70588235,1.154352471,1.443744149,1,683
82,5761558,19,10000,2016-1-8,2018-5-12,0.85575162,0.583467013,58.13953488,4.143373669,4.978710008,1,855
83,5761558,20,15000,2016-1-8,2018-9-15,0.431372549,0.308823529,39.68253968,3.213496202,3.431831914,1,981
84,5761558,21,20000,2016-1-8,2019-1-14,2.002802931,1.426838028,165.2892562,12.88252303,14.60545499,1,1102
85,5768908,1,1,2016-1-10,2016-1-11,0.070967742,0.058064516,1,0.109090909,0.036363636,1,1
86,5768908,2,5,2016-1-10,2016-1-15,0.07102502,0.05811138,1,0.109090909,0.036363636,1,5
87,5768908,3,10,2016-1-10,2016-1-20,0.142268625,0.116401602,2,0.218181818,0.072727273,1,10
88,5768908,4,15,2016-1-10,2016-1-25,0.071544715,0.058536585,1,0.109090909,0.036363636,1,15
89,5768908,5,20,2016-1-10,2016-1-30,0.285650075,0.233713698,4,0.436363636,0.145454545,1,20
90,5768908,6,50,2016-1-10,2016-2-29,0.072131148,0.059016393,1,0.109090909,0.036363636,1,50
91,5768908,7,75,2016-1-10,2016-3-1,3.666134383,2.999564495,75,7.935473617,13.85378258,1,51
92,5768908,8,100,2016-1-10,2016-3-2,0.074011775,0.060555088,25,2.480928163,12.03560076,1,52
93,5768908,9,125,2016-1-10,2016-3-3,3.814220232,3.120725644,125,12.89732994,37.92498411,1,53
94,5768908,10,200,2016-1-10,2016-3-5,0.074136479,0.060657119,37.5,2.480928163,12.03560076,1,55
95,5768908,11,250,2016-1-10,2016-3-7,2.055508198,1.681779435,125,11.4105213,43.03369358,1,57
96,5768908,12,500,2016-1-10,2016-3-13,0.074387151,0.060862215,41.66666667,2.480928163,12.03560076,1,63
97,5768908,13,1000,2016-1-10,2016-3-23,0.530500285,0.434045688,100,6.25158932,27.86369994,1,73
98,5768908,14,1500,2016-1-10,2016-4-2,0.075407027,0.061696658,50,2.480928163,12.03560076,1,83
99,5768908,15,2000,2016-1-10,2016-4-12,0.681966085,0.557972251,200,11.21344565,51.93490146,1,93
100,5768908,16,2500,2016-1-10,2016-4-22,0.076721883,0.06277245,50,2.480928163,12.03560076,1,103
101,5768908,17,3000,2016-1-10,2016-5-2,0.836084626,0.684069239,300,16.17530197,76.00610299,1,113
102,5768908,18,5000,2016-1-10,2016-6-11,0.078083407,0.063886424,50,2.480928163,12.03560076,1,153
103,5768908,19,10000,2016-1-10,2016-9-19,0.195798587,0.160198844,100,5.090829625,24.45045137,1,253
104,5768908,20,15000,2016-1-10,2016-11-19,0.089159068,0.072948328,81.96721311,5.056290708,11.38473533,1,314
105,5768908,21,20000,2016-1-10,2017-1-19,0.505172756,0.413323164,327.8688525,18.45820375,62.85217783,1,375
106,5771269,1,1,2016-1-10,2016-1-11,0.070967742,0.058064516,1,0.892857143,0.321428571,0,1
107,5771269,2,5,2016-1-10,2016-1-12,0.07102502,0.05811138,4,0.892857143,0.321428571,0,2
108,5771269,3,10,2016-1-10,2016-1-13,0.213075153,0.174334216,10,2.678571429,0.964285714,0,3
109,5771269,4,15,2016-1-10,2016-1-14,0.071139854,0.058205335,5,0.892857143,0.321428571,0,4
110,5771269,5,20,2016-1-10,2016-1-15,0.355412419,0.290791979,20,4.464285714,1.607142857,0,5
