Id,CreationDate,LastAccessDate,DownVotes,UpVotes,Reputation,Views,WebsiteUrl
5820010,2016-1-21,2017-12-2,0,0,1,4,NULL
5820010,2016-1-21,2018-6-2,211,41,15022,1703,
5820010,2016-1-21,2018-9-2,374,81,25725,2877,
5820010,2016-1-21,2018-12-2,563,165,35678,3641,
5820010,2016-1-21,2019-6-2,1208,311,53530,5000,
5820010,2016-1-21,2019-8-31,1479,334,60380,5565,
5836671,2016-1-25,2016-3-4,0,0,1,0,NULL
5836671,2016-1-25,2016-12-11,180,178,3720,208,http://www.vanderwaal.eu
5836671,2016-1-25,2017-6-10,652,630,10376,682,http://www.vanderwaal.eu
5836671,2016-1-25,2017-8-26,811,714,12313,948,http://www.vanderwaal.eu
5836671,2016-1-25,2017-12-2,916,877,14812,1171,http://www.vanderwaal.eu
5836671,2016-1-25,2018-6-2,1222,1085,18711,1730,http://www.vanderwaal.eu
5836671,2016-1-25,2018-9-1,1298,1217,20303,1972,http://www.vanderwaal.eu
5836671,2016-1-25,2018-12-1,1355,1365,22312,2204,http://www.vanderwaal.eu
5836671,2016-1-25,2019-6-1,1510,1674,25451,2709,http://www.vanderwaal.eu
5836671,2016-1-25,2019-8-29,1605,1805,26638,2973,http://www.vanderwaal.eu
5841306,2016-1-26,2016-3-4,0,0,1,0,NULL
5841306,2016-1-26,2016-12-9,0,0,1,0,NULL
5841306,2016-1-26,2017-6-10,0,8,112,21,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2017-8-26,2,26,197,55,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2017-12-2,107,124,1379,267,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2018-6-3,424,564,5929,759,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2018-9-2,444,766,8091,983,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2018-12-2,466,1119,11397,1274,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2019-6-2,476,1895,17242,1886,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5841306,2016-1-26,2019-8-31,489,2407,20944,2302,https://pk.linkedin.com/in/barbaros-%C3%B6zhan-3a421054/
5858851,2016-1-29,2016-3-1,0,0,1,0,NULL
5858851,2016-1-29,2016-12-9,0,3,91,4,NULL
5858851,2016-1-29,2017-6-10,0,4,101,5,NULL
5858851,2016-1-29,2017-7-10,0,4,101,5,NULL
5858851,2016-1-29,2017-12-3,7,35,345,31,
5858851,2016-1-29,2018-6-3,593,1747,8163,737,
5858851,2016-1-29,2018-9-2,749,2044,10827,1003,
5858851,2016-1-29,2018-12-2,919,2271,13347,1242,
5858851,2016-1-29,2019-6-2,1739,2643,18740,1902,
5858851,2016-1-29,2019-9-1,2190,2858,21090,2302,
5862071,2016-1-30,2016-2-3,0,0,1,0,NULL
5862071,2016-1-30,2016-12-10,0,0,1,3,
5862071,2016-1-30,2017-6-11,223,478,7256,900,
5862071,2016-1-30,2017-8-26,265,505,8035,990,
5862071,2016-1-30,2017-12-3,361,631,11455,1320,
5862071,2016-1-30,2018-6-3,603,1037,23886,2535,
5862071,2016-1-30,2018-9-1,671,1170,29515,3001,
5862071,2016-1-30,2018-12-2,732,1237,32930,3228,https://www.linkedin.com/in/ousmane-diaw-86963a128/
5862071,2016-1-30,2019-6-1,1116,1426,43121,4978,https://www.linkedin.com/in/ousmane-diaw-86963a128/
5862071,2016-1-30,2019-8-29,1116,1428,43696,5084,https://www.linkedin.com/in/ousmane-diaw-86963a128/
5866580,2016-2-1,2016-2-29,0,0,1,0,NULL
5866580,2016-2-1,2016-10-13,0,0,1,0,NULL
5866580,2016-2-1,2017-6-10,5,113,1874,302,
5866580,2016-2-1,2017-8-26,8,164,3362,472,
5866580,2016-2-1,2017-12-3,10,363,6096,913,
5866580,2016-2-1,2018-6-3,27,1730,15381,1604,
5866580,2016-2-1,2018-9-2,29,1995,21027,2180,
5866580,2016-2-1,2018-12-2,30,2051,24311,2473,
5866580,2016-2-1,2019-6-2,30,2220,31969,3233,
5866580,2016-2-1,2019-9-1,30,2258,33766,3397,
5880706,2016-2-4,2016-3-4,0,0,1,0,NULL
5880706,2016-2-4,2016-3-7,0,0,1,0,NULL
5880706,2016-2-4,2017-6-11,10,71,2181,296,https://hadoopinku.wordpress.com/
5880706,2016-2-4,2017-8-27,11,112,6653,863,https://hadoopinku.wordpress.com/
5880706,2016-2-4,2017-12-2,11,164,9661,1212,https://hadoopinku.wordpress.com/
5880706,2016-2-4,2018-6-3,62,358,20511,2928,https://hadoopandspark.wordpress.com/
5880706,2016-2-4,2018-9-2,76,405,24737,3665,https://hadoopandspark.wordpress.com/
5880706,2016-2-4,2018-12-2,76,422,26513,3945,https://hadoopandspark.wordpress.com/
5880706,2016-2-4,2019-6-2,76,464,28893,4353,https://hadoopandspark.wordpress.com/
5880706,2016-2-4,2019-8-30,76,486,29862,4520,https://hadoopandspark.wordpress.com/
5892036,2016-2-6,2016-3-5,1,2,758,14,http://sven.schoenung.org
5892036,2016-2-6,2016-12-10,701,52,9715,395,http://sven.schoenung.org
5892036,2016-2-6,2017-6-9,787,61,12429,583,http://sven.schoenung.org
5892036,2016-2-6,2017-8-24,787,61,13069,628,http://sven.schoenung.org
